a 工
b 了
c 以
d 在
e 有
f 地
g 一
iutk ㄠ
iutk ㄤ
iutk ㄈ
iutk ㄌ
iutk ㄏ
iutk ㄒ
iutk ㄖ
iutk ㄙ
iutk ㄩ
iutk ㄝ
iutk ㄡ
iutk ㄥ
zyfh ㄅ
zyfh ㄉ
zyfh ˇ
zyfh ˋ
zyfh ㄓ
zyfh ˊ
zyfh ˙
zyfh ㄚ
zyfh ㄞ
zyfh ㄢ
zyfh ㄦ
zyfh ㄆ
zyfh ㄊ
zyfh ㄍ
zyfh ㄐ
zyfh ㄔ
zyfh ㄗ
zyfh ㄧ
zyfh ㄛ
zyfh ㄟ
zyfh ㄣ
zyfh ㄇ
zyfh ㄋ
zyfh ㄎ
zyfh ㄑ
zyfh ㄕ
zyfh ㄘ
zyfh ㄨ
zyfh ㄜ
zyfh ㄠ
zyfh ㄤ
zyfh ㄈ
zyfh ㄌ
zyfh ㄏ
zyfh ㄒ
zyfh ㄖ
zyfh ㄙ
zyfh ㄩ
zyfh ㄝ
zyfh ㄡ
zyfh ㄥ
gdxk ‘
gdxk ’
gdxk “
gdxk ”
wmyh ‘
wmyh ’
wmyh “
wmyh ”
gdrk 「
gdrk 」
gdrk 『
gdrk 』
gdrk 〖
gdrk 〗
gdrk 【
gdrk 】
gdrk 《
gdrk 》
wmkh 「
wmkh 」
wmkh 『
wmkh 』
wmkh 〖
wmkh 〗
wmkh 【
wmkh 】
wmkh 《
wmkh 》
wqrk ﹙
wqrk ﹚
wqrk （
wqrk ）
wqrk 〔
wqrk 〕
wqrk ［
wqrk ］
wqrk ｛
wqrk ｝
qjkh ﹙
qjkh ﹚
qjkh （
qjkh ）
qjkh 〔
qjkh 〕
qjkh ［
qjkh ］
qjkh ｛
qjkh ｝
uqrk (
uqrk )
uqrk [
uqrk ]
uqrk {
uqrk }
uqrk <
uqrk >
bjkh (
bjkh )
bjkh [
bjkh ]
bjkh {
bjkh }
bjkh <
bjkh >
gdhr ′
gdhr ″
gmsp ′
gmsp ″
wqsh ，
wqsh 。
wqsh 、
wqsh ；
wqsh ：
wqsh ！
wqsh ？
wqsh ……
qjbd ，
qjbd 。
qjbd 、
qjbd ；
qjbd ：
qjbd ！
qjbd ？
qjbd ……
uqsh ,
uqsh .
uqsh "
uqsh ;
uqsh :
uqsh !
uqsh ?
uqsh #
uqsh &
uqsh *
uqsh +
uqsh -
uqsh <
uqsh >
uqsh =
uqsh \
uqsh $
uqsh %
uqsh @
uqsh .
uqsh ~
bjbd ,
bjbd .
bjbd "
bjbd ;
bjbd :
bjbd !
bjbd ?
bjbd #
bjbd &
bjbd *
bjbd +
bjbd -
bjbd <
bjbd >
bjbd =
bjbd \
bjbd $
bjbd %
bjbd @
bjbd .
bjbd ~
rkjr ︵
rkjr ︶
rkjr ︹
rkjr ︺
rkjr ︿
rkjr ﹀
rkjr ︽
rkjr ︾
rkjr ﹁
rkjr ﹂
rkjr ﹃
rkjr ﹄
rkjr ︻
rkjr ︼
rkjr ︷
rkjr ︸
khsp ︵
khsp ︶
khsp ︹
khsp ︺
khsp ︿
khsp ﹀
khsp ︽
khsp ︾
khsp ﹁
khsp ﹂
khsp ﹃
khsp ﹄
khsp ︻
khsp ︼
khsp ︷
khsp ︸
gdtk ＝
gdtk ≡
gdtk ≌
gdtk ≈
gdtk ∽
gdtk ∝
gdtk ≠
gdtk ≮
gdtk ≯
gdtk ≤
gdtk ≥
gdtk ∞
gdtk ≒
gdtk ≦
gdtk ≧
wmdh ＝
wmdh ≡
gqyn 死亡
tyus 知识产权
fhgc 直到
itym 省市
ugjg 并不是
qgnm 印刷
ymtv 市委
cdly 马克思主义
alrq 世界的
wgdn 合成
ryye 推广应用
z $LAST
